bbox,track_id,object_name,time_date,bbox_image_path,confidence,score
"[428, 495, 523, 576]",1.0,car,2025-05-11__14_11_11_412450,processed_video\Video1\bbox_images\1.0_2025-05-11__14_11_11_412450.jpg,0.7555075883865356,1.067844941688826
"[516, 393, 565, 437]",2.0,car,2025-05-11__14_11_11_413481,processed_video\Video1\bbox_images\2.0_2025-05-11__14_11_11_413481.jpg,0.7158904671669006,0.83809751986763
"[300, 468, 400, 541]",3.0,car,2025-05-11__14_11_11_414331,processed_video\Video1\bbox_images\3.0_2025-05-11__14_11_11_414331.jpg,0.6639229655265808,0.6275483668255539
"[987, 197, 1277, 287]",4.0,train,2025-05-11__14_11_11_415332,processed_video\Video1\bbox_images\4.0_2025-05-11__14_11_11_415332.jpg,0.6213829517364502,0.0
"[553, 331, 590, 363]",5.0,car,2025-05-11__14_11_11_416331,processed_video\Video1\bbox_images\5.0_2025-05-11__14_11_11_416331.jpg,0.5061678290367126,0.0678382730605074
"[201, 404, 311, 495]",6.0,truck,2025-05-11__14_11_11_416331,processed_video\Video1\bbox_images\6.0_2025-05-11__14_11_11_416331.jpg,0.5031675100326538,0.7589805685078904
"[673, 297, 697, 313]",7.0,car,2025-05-11__14_11_11_417340,processed_video\Video1\bbox_images\7.0_2025-05-11__14_11_11_417340.jpg,0.3999370038509369,0.2777497625283413
"[410, 294, 483, 358]",8.0,bus,2025-05-11__14_11_11_418329,processed_video\Video1\bbox_images\8.0_2025-05-11__14_11_11_418329.jpg,0.346145749092102,0.7106928835631959
"[454, 342, 505, 389]",9.0,truck,2025-05-11__14_11_11_419343,processed_video\Video1\bbox_images\9.0_2025-05-11__14_11_11_419343.jpg,0.2644014060497284,0.2369031470774763
"[552, 306, 594, 363]",10.0,car,2025-05-11__14_11_11_420379,processed_video\Video1\bbox_images\10.0_2025-05-11__14_11_11_420379.jpg,0.2530247271060943,0.5206282688535129
"[430, 493, 525, 574]",1.0,car,2025-05-11__14_11_11_793280,processed_video\Video1\bbox_images\1.0_2025-05-11__14_11_11_793280.jpg,0.7485243678092957,1.0734229697800308
"[517, 391, 565, 436]",2.0,car,2025-05-11__14_11_11_794279,processed_video\Video1\bbox_images\2.0_2025-05-11__14_11_11_794279.jpg,0.7321366667747498,0.8136857548182874
